last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Williams,Devin,642207,83.4,Changeup,42.7,19
McKenzie,Triston,663474,79.4,Curveball,51.3,7.9
Otto,Glenn,657248,81.1,Slider,42.4,16.5
Sears,JP,676664,93.2,4-Seamer,17.9,12.1
Suarez,José,660761,92.7,4-Seamer,16.4,9.5
Manaea,Sean,640455,84.9,Changeup,31.2,13
Fried,Max,608331,74.3,Curveball,66.8,9.5
Bautista,Félix,642585,99.1,4-Seamer,8.2,7.3
Pivetta,Nick,601713,85.8,Slider,33.6,5.8
Vest,Will,676684,95.1,4-Seamer,14.8,9.3
Montgomery,Jordan,656756,80.2,Curveball,47.7,2.9
Blackburn,Paul,621112,91.7,Sinker,22.5,12.8
Sandoval,Patrick,663776,83.7,Changeup,30.6,14.3
Mayza,Tim,641835,93.7,Sinker,22.4,17.1
Hudson,Dakota,641712,87.8,Slider,30.7,0.4
Burnes,Corbin,669203,81.6,Curveball,47.5,9.8
Montgomery,Jordan,656756,82.3,Changeup,28.5,10.9
Kremer,Dean,665152,88,Cutter,27.1,4.7
Vesia,Alex,681911,94.1,4-Seamer,11.4,5
Boxberger,Brad,502202,92.7,4-Seamer,14.5,6
Keller,Mitch,656605,84.3,Slider,40.4,13.9
Jiménez,Joe,641729,95.7,4-Seamer,11.6,10.4
Irvin,Cole,608344,90.3,Sinker,21.5,14.3
Gibson,Kyle,502043,89.4,Cutter,24.8,0.8
Castillo,Luis,622491,96.9,Sinker,23.3,17.8
Keller,Mitch,656605,94.4,Sinker,19.7,14.8
Brieske,Beau,689225,94.3,4-Seamer,13.3,7.3
Montas,Frankie,593423,86.4,Splitter,33.4,12.1
Wilson,Bryse,669060,92.1,Sinker,24.3,16.2
Skubal,Tarik,669373,89.3,Slider,25.9,1.1
Márquez,Germán,608566,87.7,Slider,31.1,0.3
Bradish,Kyle,680694,86.9,Slider,37.4,10.8
Carrasco,Carlos,471911,87.4,Changeup,34.6,8.2
Feltner,Ryan,663372,94.5,4-Seamer,17,6.6
Brebbia,John,605154,84,Slider,35.4,5.9
Carrasco,Carlos,471911,84.9,Slider,35.6,2.3
Quijada,José,650671,94.5,4-Seamer,15.2,6
López,Jorge,605347,97.7,Sinker,20.6,17.2
Foley,Jason,671345,96.3,Sinker,23.8,17.2
Gilbreath,Lucas,656458,93.8,4-Seamer,15.1,0.6
Otto,Glenn,657248,92.2,Sinker,22.4,13.9
Pagán,Emilio,641941,95.6,4-Seamer,11.6,4.9
Wacha,Michael,608379,84.3,Changeup,26.2,12.5
Rogers,Tyler,643511,83.2,4-Seamer,53.2,1.5
Junis,Jakob,596001,91.9,Sinker,24.1,12.9
McClanahan,Shane,663556,82,Curveball,52.1,7.6
Gibson,Kyle,502043,83.3,Slider,40.2,5.1
Hendriks,Liam,521230,97.6,4-Seamer,10.1,6
Stroman,Marcus,573186,84.7,Slider,38.3,13.4
Nola,Aaron,605400,92.2,Sinker,22.6,17
Snell,Blake,605483,88.9,Slider,29.9,4.1
Rogers,Trevor,669432,85.7,Changeup,35.6,14.6
Darvish,Yu,506433,82.3,Slider,42.6,15
Anderson,Tyler,542881,85.7,Cutter,27.2,2.5
Kikuchi,Yusei,579328,86.5,Slider,34.5,3.1
Velasquez,Vince,592826,93.2,4-Seamer,13.1,5.1
Smith,Caleb,592761,91.9,4-Seamer,13.9,10.9
Cueto,Johnny,456501,91.4,Sinker,23.5,16.8
Kelly,Merrill,518876,90.9,Cutter,20.1,1.6
Moore,Matt,519043,93.9,4-Seamer,13.2,9.1
Jax,Griffin,643377,86.4,Slider,38.8,11.4
Sandoval,Patrick,663776,93.1,4-Seamer,15.1,4
Ramirez,Erasmo,541640,89.2,Cutter,25.3,1.6
Castillo,Luis,622491,88.4,Changeup,32.3,17.3
Detmers,Reid,672282,85.9,Slider,37.9,3.1
Melancon,Mark,453343,90.9,Cutter,23.6,1
Knebel,Corey,608349,95.6,4-Seamer,12.5,3.8
Gonzales,Marco,594835,86.1,Cutter,25.2,2.3
Gonsolin,Tony,664062,83.5,Splitter,36.8,12.4
Voth,Austin,608723,77.5,Curveball,57.2,16
Stripling,Ross,548389,82.6,Changeup,29.7,10.9
Minter,A.J.,621345,96.6,4-Seamer,12,6.5
Musgrove,Joe,605397,90.1,Cutter,24.5,1.6
Morgan,Eli,669212,92.1,4-Seamer,15.1,10.9
Peterson,David,656849,84.4,Slider,37.7,3.9
Clase,Emmanuel,661403,99.5,Cutter,16.5,3.2
Bass,Anthony,542914,86.6,Slider,38,4.7
Suárez,Ranger,624133,84.9,Changeup,32.2,14.8
Helsley,Ryan,664854,99.6,4-Seamer,9.5,2.8
Ashby,Aaron,676879,83.5,Slider,42.3,9.4
Matzek,Tyler,554431,94.1,4-Seamer,13.4,3.8
DeJong,Chase,608328,92.8,4-Seamer,13.2,1.2
Woodruff,Brandon,605540,95.8,Sinker,15.9,14
Civale,Aaron,650644,86.3,Cutter,32.3,6.6
Tate,Dillon,622253,94,Sinker,25.2,17.2
Contreras,Roansy,672710,83.8,Slider,40.3,4.3
López,Reynaldo,625643,97.1,4-Seamer,12.1,7.2
Musgrove,Joe,605397,81.3,Curveball,55.5,9.6
Irvin,Cole,608344,77.5,Curveball,49.6,8.2
Kopech,Michael,656629,84.3,Slider,40.2,4.7
Lodolo,Nick,666157,94.4,4-Seamer,20.5,16.8
Strickland,Hunter,519326,95,4-Seamer,16.9,5
Robertson,David,502085,93,Cutter,14.5,0.7
Keller,Brad,641745,93.4,Sinker,23.5,10.4
Barlow,Scott,605130,84.1,Slider,39.4,8.1
Springs,Jeffrey,605488,85.4,Slider,32.4,4.5
Díaz,Edwin,621242,90.8,Slider,28.8,1.5
Rodriguez,Eduardo,593958,91.7,4-Seamer,18,6.9
Rogers,Tyler,643511,72.1,Slider,39.3,13.9
Crismatt,Nabil,622503,82.7,Changeup,38.8,13.1
Quintana,José,500779,86.4,Changeup,30.8,11.7
Luetge,Lucas,476595,87.6,Cutter,29.1,5.1
Ruiz,José,614179,96.9,4-Seamer,12,7.1
Castillo,Diego,650895,88.4,Slider,28.8,0.2
Gray,Sonny,543243,92.1,4-Seamer,16.8,1.5
Barría,Jaime,642545,85.3,Slider,32,4
Castillo,Luis,622491,86.5,Slider,36,1.1
Sampson,Adrian,592716,92.4,4-Seamer,17.4,10.1
Taillon,Jameson,592791,86.2,Slider,32.6,6.2
Givens,Mychal,571710,93.4,4-Seamer,19.2,6.9
Fried,Max,608331,87.3,Slider,34.9,3.8
Rasmussen,Drew,656876,84.6,Slider,42.2,12.1
Plesac,Zach,668676,85.4,Slider,29.9,1.3
Sampson,Adrian,592716,91.9,Sinker,21.4,14.3
Stanek,Ryne,592773,98.3,4-Seamer,10.8,10.2
McHugh,Collin,543521,80.2,Slider,42.6,16.4
Bundy,Dylan,605164,79.1,Slider,44.4,5.3
Kelly,Merrill,518876,92.6,Sinker,24.4,16.1
Wright,Kyle,657140,95.1,4-Seamer,17.7,11.4
Lyles,Jordan,543475,90.8,Sinker,20.8,13.4
McGee,Jake,459429,94.4,4-Seamer,15.8,11.7
Diekman,Jake,518617,95.6,4-Seamer,17.6,15.9
Otto,Glenn,657248,92.1,4-Seamer,17,4.3
Nelson,Nick,656793,96.3,4-Seamer,13.2,6.6
Lauer,Eric,641778,89.8,Cutter,23,0.5
Freeland,Kyle,607536,80.9,Curveball,48.5,4.3
McHugh,Collin,543521,88.9,Cutter,25.6,0.8
Lodolo,Nick,666157,81.5,Curveball,40,13.8
Montas,Frankie,593423,95.6,Sinker,18.4,15.5
Kaprielian,James,621076,85,Slider,34.3,4.5
Bieber,Shane,669456,82,Curveball,51.6,9.9
Dunning,Dane,641540,84,Changeup,34.7,17.2
Puk,A.J.,640462,96.7,4-Seamer,17.4,12.6
Keuchel,Dallas,572971,87.2,Sinker,30.1,15.4
Murfee,Penn,682171,79.7,Slider,40.9,16.9
García,Luis,472610,98.7,Sinker,18.3,14.8
Romano,Jordan,605447,87.3,Slider,36.9,4.2
Richards,Trevor,670950,93.4,4-Seamer,11.4,7.4
Martínez,Adrián,661309,93.8,Sinker,22.8,17.3
Coleman,Dylan,669395,83.3,Slider,36.2,13.9
Skubal,Tarik,669373,94.1,4-Seamer,15.1,8.3
Lange,Alex,656638,85.5,Curveball,42.9,0.6
Bumgarner,Madison,518516,78.6,Curveball,47.1,9.2
