 first_name,last_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
 Daniel,Lynch,663738,93.8,4-Seamer,15.8,7.3
 Heath,Hembree,592390,86.5,Slider,29,8.2
 Will,Smith,519293,92.8,4-Seamer,14.5,7.1
 Zach,Plesac,668676,86.7,Slider,27.5,0.1
 Andrew,Heaney,571760,79.4,Curveball,46.8,7
 Kolby,Allard,663465,86.3,Cutter,30.6,2.4
 Cole,Irvin,608344,90.5,Sinker,20.9,14.3
 Logan,Gilbert,669302,83.4,Slider,35.1,6.5
 German,Marquez,608566,85.2,Curveball,40.3,4
 Adam,Plutko,592644,91.6,4-Seamer,13.8,4.4
 Jose,Quintana,500779,91.5,4-Seamer,16.1,3.6
 Kenta,Maeda,628317,84.2,Splitter,37,12.4
 Anthony,Bender,669622,96.8,Sinker,26.9,15.7
 Hector,Neris,593576,84.2,Splitter,38.1,8.3
 Hunter,Strickland,519326,94.9,4-Seamer,16.5,3.4
 Tyler,Mahle,641816,86.4,Splitter,28.4,14.5
 J.P.,Feyereisen,656420,93.1,4-Seamer,10.9,5.4
 Brett,de Geus,676969,93.8,Sinker,24.7,16.1
 Tyler,Wells,669330,95.2,4-Seamer,10.5,4.1
 Phil,Bickford,641360,93.9,4-Seamer,14.4,4
 Madison,Bumgarner,518516,77.8,Curveball,48.4,10.1
 Bryse,Wilson,669060,93.1,4-Seamer,17.1,6.4
 Jesus,Luzardo,666200,83.4,Curveball,37.1,0.2
 Ryan,Weathers,677960,86.6,Slider,30.9,2.2
 Alek,Manoah,666201,92.8,Sinker,22.3,14.1
 Kyle,Hendricks,543294,87.3,4-Seamer,20.4,6.9
 Michael,Pineda,501381,81.2,Slider,40.9,0.5
 Michael,Wacha,608379,89.1,Cutter,24.6,2.2
 Chris,Paddack,663978,85.2,Changeup,30.3,13.8
 Tyler,Kinley,641755,95.9,4-Seamer,13.1,3.9
 Yusmeiro,Petit,433589,87.6,4-Seamer,17.6,5
 Mike,Foltynewicz,592314,93.1,Sinker,20.6,16.2
 Shane,Bieber,669456,83.1,Curveball,52.8,8.6
 Jarlin,Garcia,606424,93.1,4-Seamer,18.6,15.6
 Yusei,Kikuchi,579328,82.5,Slider,43,2.6
 Lance,Lynn,458681,92.4,Sinker,25.7,12.9
 Julio,Urias,628711,86.8,Changeup,28.9,14.6
 Eduardo,Rodriguez,593958,88.3,Cutter,26.2,1.9
 Greg,Holland,518813,85.7,Slider,35.8,5
 Cristian,Javier,664299,81,Slider,37.1,10.7
 Steve,Cishek,518553,77.5,Slider,50,16.5
 Daniel,Ponce de Leon,594965,93,4-Seamer,13.3,8.7
 Wily,Peralta,503449,94,Sinker,17.1,11.5
 Ervin,Santana,429722,93.4,4-Seamer,17.2,4.5
 Tyler,Rogers,643511,71.8,Slider,40.1,13.1
 JT,Brubaker,664141,93.4,Sinker,20.5,15.7
 Enyel,De Los Santos,660853,94.8,4-Seamer,17,13.1
 Anthony,Bass,542914,85.9,Slider,39.8,4.5
 Ben,Bowden,641386,92.4,4-Seamer,14.9,10.5
 Josh,Staumont,622251,96.5,4-Seamer,11,3
 Aaron,Civale,650644,87.7,Cutter,29,5.5
 Kyle,Funkhouser,608335,95.5,Sinker,20.4,14.4
 JT,Brubaker,664141,92.9,4-Seamer,15.8,8.7
 Paul,Fry,643316,92.8,4-Seamer,18.9,5.8
 Corbin,Burnes,669203,81.2,Curveball,49.3,11.3
 Jameson,Taillon,592791,86.9,Slider,30,5.4
 Anthony,DeSclafani,543101,94,Sinker,19.7,15.6
 Alex,Wood,622072,85.3,Changeup,36.2,14.4
 Michael,Fulmer,605242,91.2,Slider,26.9,5.4
 J.A.,Happ,457918,89.1,Sinker,26.1,13.8
 Alex,Vesia,681911,93.8,4-Seamer,11.5,6.8
 Kyle,Zimmer,622092,94.1,4-Seamer,15.5,0.4
 Tanner,Scott,656945,96.8,4-Seamer,13.7,4.4
 Tyler,Duffey,608648,92.5,4-Seamer,15.8,5.6
 Daniel,Norris,596057,92.7,4-Seamer,15.4,6.5
 Junior,Guerra,448855,93.1,Sinker,17.7,14
 Joe,Jimenez,641729,94.7,4-Seamer,12.7,8.5
 Brandon,Woodruff,605540,83.8,Curveball,51.3,4.5
 Justus,Sheffield,656954,81.7,Slider,43.5,7.5
 Kyle,Freeland,607536,91.4,4-Seamer,19.6,6.2
 Burch,Smith,572143,93.4,4-Seamer,14.4,7
 Martin,Perez,527048,92.8,Sinker,21.4,16.8
 Marco,Gonzales,594835,79.3,Changeup,33.5,16.6
 Gerrit,Cole,543037,83.4,Curveball,51.6,10.5
 Sam,Howard,607572,84.9,Slider,32.4,2.1
 Sean,Manaea,640455,82.6,Curveball,37.5,4.9
